"mode", "seed", "ncat", "p11", "p12", "p13", "th10", "th11", "th12", "a_iinfo1", "method", "p21", "p22", "p23", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "a_iinfo2", "difai", "dth0", "dth1", "dth2"
"G2P", 1703, 3, 1, 1.38140612338207, 1.82309850258371, -0.245157125191101, 0.838736456558414, 1.64517278014035, 0.483322591849953, 0, 1.1749, 1.1762, 2.1181, 0.0127651390450785, 0.150099009085774, 0.0766426104470463, 0.128435455768794, 0.0505127568765122, -0.246909185975104, 0.910172282406032, 1.43450514626156, 0.44688250522736, 0.0364400866225923, 0.0017520607840032, -0.0714358258476183, 0.210667633878798
"G2P", 1703, 3, 1, 1.38140612338207, 1.82309850258371, -0.245157125191101, 0.838736456558414, 1.64517278014035, 0.483322591849953, 1, 1.3577, 1.318, 1.8924, 0.048828564974218, 0.0360203322334938, 0.0354858761378363, 0.134170329452944, 0.120958031873133, -0.212127136492516, 1.00979694571136, 1.49137953967166, 0.465410103411175, 0.0179124884387781, -0.0330299886985852, -0.171060489152942, 0.153793240468695
"G2P", 1703, 3, 1, 1.38140612338207, 1.82309850258371, -0.245157125191101, 0.838736456558414, 1.64517278014035, 0.483322591849953, 2, 1.338, 1.2765, 1.839, 0.0468208715882414, 0.0468650128722567, 0.0324755844611834, 0.135432966613513, 0.0949959911502459, -0.221940918503335, 0.973081075614166, 1.45428329270061, 0.475455503228789, 0.00786708862116409, -0.0232162066877662, -0.134344619055752, 0.190889487439739
"G2P", 1703, 3, 1, 1.37793390645166, 1.45539821703294, -0.267084773225744, 0.770475453176705, 1.53908957866674, 0.562252989543895, 0, 1.2649, 1.0853, 1.8024, 0.0140211756321752, 0.162578821116401, 0.0913509283707227, 0.102952261844291, 0.0656623422134317, -0.268895001662274, 0.863336028072123, 1.38686887915558, 0.526155795023427, 0.0360971945204678, 0.00181022843653011, -0.0928605748954184, 0.152220699511158
"G2P", 1703, 3, 1, 1.37793390645166, 1.45539821703294, -0.267084773225744, 0.770475453176705, 1.53908957866674, 0.562252989543895, 1, 1.4641, 1.2218, 1.6251, 0.0504462313783947, 0.0344097707374604, 0.0371821455128874, 0.123579086909413, 0.128934024095008, -0.233344732711477, 0.952815698703204, 1.43218299939528, 0.545609146587457, 0.0166438429564381, -0.0337400405142667, -0.1823402455265, 0.106906579271455
"G2P", 1703, 3, 1, 1.37793390645166, 1.45539821703294, -0.267084773225744, 0.770475453176705, 1.53908957866674, 0.562252989543895, 2, 1.4614, 1.2017, 1.5808, 0.0523042655065437, 0.0396088471962155, 0.0340304740793806, 0.120929454169927, 0.114310246680085, -0.238397739519719, 0.932134554349895, 1.4090311773136, 0.552357658947302, 0.00989533059659331, -0.0286870337060245, -0.16165910117319, 0.130058401353142
"G2P", 1703, 3, 1, 0.849517604995017, 0.969183194822615, -0.422402075411791, 0.504918478753268, 1.25881115978276, 0.808931274920243, 0, 1.3035, 0.5639, 1.2674, 0.0148678837296453, 0.166028585977765, 0.101898010264188, 0.0584915237252406, 0.0442575405191904, -0.423090818742747, 0.567508092792784, 1.17915037338123, 0.769537165710822, 0.0393941092094217, 0.000688743330955921, -0.0625896140395159, 0.0796607864015266
"G2P", 1703, 3, 1, 0.849517604995017, 0.969183194822615, -0.422402075411791, 0.504918478753268, 1.25881115978276, 0.808931274920243, 1, 1.4686, 0.7218, 1.0962, 0.068510563794403, 0.0339685865333444, 0.037315855247945, 0.0860323787772068, 0.0799038609647214, -0.378460155537291, 0.617919602615551, 1.17218227154218, 0.793617997420371, 0.0153132774998727, -0.0439419198745, -0.113001123862283, 0.0866288882405768
"G2P", 1703, 3, 1, 0.849517604995017, 0.969183194822615, -0.422402075411791, 0.504918478753268, 1.25881115978276, 0.808931274920243, 2, 1.4684, 0.7097, 1.0747, 0.0696785041211768, 0.0365886011752747, 0.036593800546477, 0.0846077916916484, 0.0721007765473548, -0.382472176598393, 0.606884374804169, 1.16142535759322, 0.797185706395581, 0.011745568524662, -0.0399298988133971, -0.101965896050901, 0.0973858021895431
"G2P", 1703, 3, 1, -0.28393004614517, 0.27474308485681, -0.826142093949979, -0.00249652744226187, 0.821935281954582, 0.995767209487939, 0, 1.2417, -0.4686, 0.4594, 0.0138666977571855, 0.159281601032493, 0.0962400611809955, 0.0163831510312203, 0.00016759353647358, -0.80588260773422, -0.00273354049450888, 0.802067721555231, 0.943433241816333, 0.0523339676716059, -0.0202594862157596, 0.000237013052247007, 0.0198675603993503
