"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "th10", "th11", "th12", "th13", "info", "p21", "p22", "p23", "p24", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "dth0", "dth1", "dth2", "dth3"
"Gn2P", 1701, 4, 1, 0.184562372258762, 0.44474461218675, 1.20006315865249, -0.688180912031049, 0.0771487820850038, 0.679808545150177, 1.32132097605969, 1, 1.6561, 0.2366, 0.6204, 0.9975, 0.0158590613335921, 0.0181395269346714, 0.0223099645304771, 0.149168175097296, 0.145218607054893, -0.576466156138286, 0.31119564284377, 0.587681467296503, 1.20617298581079, -0.111714755892764, -0.234046860758767, 0.0921270778536737, 0.115147990248899
"Gn2P", 1701, 4, 1, 0.184562372258762, 0.44474461218675, 1.20006315865249, -0.688180912031049, 0.0771487820850038, 0.679808545150177, 1.32132097605969, 2, 1.5579, 0.0534, 0.5249, 1.2791, 0.00645329741547373, 0.0344149558894919, 0.0122756653072048, 0.0729941092022955, 0.0805581424240349, -0.64741329216699, 0.202104968489178, 0.617721554469693, 1.33480126356155, -0.0407676198640594, -0.124956186404174, 0.0620869906804838, -0.0134802875018618
"Gn2P", 1701, 4, 1, 0.127933243076426, 0.593024107472919, 0.849890952080784, -0.697075268477055, 0.057515215888921, 0.635884315154537, 1.24855891845867, 0, 1.4753, -0.1176, 0.5596, 1.1451, 0.00274132945590955, 0.0612845387168113, 0.01846803415395, 0.0564889174316146, 0.0634826723047171, -0.712423829602029, 0.1475036351754, 0.572700191807251, 1.22762416761392, 0.0153485611249742, -0.0899884192864794, 0.0631841233472862, 0.0209347508447495
"Gn2P", 1701, 4, 1, 0.127933243076426, 0.593024107472919, 0.849890952080784, -0.697075268477055, 0.057515215888921, 0.635884315154537, 1.24855891845867, 1, 1.6954, 0.1564, 0.8284, 1.0195, 0.0136273221434384, 0.0321452256029129, 0.0274135838028904, 0.156548588568258, 0.174111115914006, -0.61497226179446, 0.355233043046556, 0.683927394229449, 1.22998752728646, -0.0821030066825945, -0.297717827157635, -0.048043079074912, 0.0185713911722067
"Gn2P", 1701, 4, 1, 0.127933243076426, 0.593024107472919, 0.849890952080784, -0.697075268477055, 0.057515215888921, 0.635884315154537, 1.24855891845867, 2, 1.6309, 0.0631, 0.5164, 1.0458, 0.00814017846812782, 0.0389548492112874, 0.0138068613383154, 0.0884432859938378, 0.0977835655129793, -0.651121772803626, 0.207972578511616, 0.558118904553704, 1.22637201845777, -0.0459534956734291, -0.150457362622695, 0.0777654106008328, 0.0221869000008994
"Gn2P", 1701, 4, 1, -1.66946155825483, 0.126680641376588, 1.40599761611697, -1.28762279358706, -0.407188602408991, 0.417342651089589, 1.24678362603279, 0, 1.1818, -1.6641, 0.0826, 1.4786, 0.000796425720286905, 0.0119760978018916, 0.0040721593326594, 0.0228847307972067, 0.00618793421211495, -1.33197216514907, -0.397105662870049, 0.413708656084857, 1.24316350624788, 0.0443493715620071, -0.0100829395389425, 0.00363399500473222, 0.00362011978491439
"Gn2P", 1701, 4, 1, -1.66946155825483, 0.126680641376588, 1.40599761611697, -1.28762279358706, -0.407188602408991, 0.417342651089589, 1.24678362603279, 1, 1.2139, -1.9966, 0.1497, 1.1802, 0.0103687383844501, 0.00768666977439826, 0.00961382613596372, 0.13536917134761, 0.0297564512531378, -1.52232591737095, -0.437604143400485, 0.375734550439165, 1.12205450065343, 0.234703123783885, 0.0304155409914938, 0.0416081006504246, 0.124729125379358
"Gn2P", 1701, 4, 1, -1.66946155825483, 0.126680641376588, 1.40599761611697, -1.28762279358706, -0.407188602408991, 0.417342651089589, 1.24678362603279, 2, 1.1875, -1.7359, 0.1381, 1.4538, 0.00281049287363728, 0.0103287389265304, 0.00373765756538372, 0.0430471446900516, 0.00996359646823528, -1.37117887195433, -0.393558284411323, 0.427927271773767, 1.23526022948479, 0.083556078367268, -0.0136303179976684, -0.010584620684178, 0.0115233965479991
"Gn2P", 1701, 4, 1, -0.683015891334755, -0.496421215190855, 0.251778708542598, -1.1503024968854, -0.508498071915007, 0.0853130230684216, 0.825441182009184, 0, 1.4475, -0.9823, -0.3846, 0.4266, 0.00265672814910841, 0.0551346492315712, 0.0169156098150169, 0.0479714778253765, 0.0521665061485631, -1.12993369382929, -0.453407525640522, 0.0136955335674407, 0.850463762008455, -0.0203688030561011, -0.0550905462744845, 0.0716174895009809, -0.0250225799992704
"Gn2P", 1701, 4, 1, -0.683015891334755, -0.496421215190855, 0.251778708542598, -1.1503024968854, -0.508498071915007, 0.0853130230684216, 0.825441182009184, 1, 1.6156, -0.8585, -0.1647, 0.0733, 0.0181531138419705, 0.0279895943679917, 0.0240703979823801, 0.111995455779491, 0.109912297241571, -1.11648357000744, -0.359296737480022, -0.0329286830152529, 0.712365678954417, -0.033818926877957, -0.149201334434985, 0.118241706083674, 0.113075503054767
