"mode", "seed", "ncat", "p11", "p12", "p13", "th10", "th11", "th12", "info", "p21", "p22", "p23", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "dth0", "dth1", "dth2"
"G2P", 1701, 3, 1, 0.0487127321259882, 0.559424674667953, -0.685848504056145, 0.165746392912576, 0.964542463165855, 1, 1.3677, 0.0439, 0.5635, 0.0121690596855894, 0.00463860814892907, 0.00544313219775138, 0.0619544885913322, 0.0228400218375076, -0.622167206032155, 0.198047061560077, 0.884439809921754, -0.0636812980239901, -0.0323006686475009, 0.0801026532441007
"G2P", 1701, 3, 1, 0.0487127321259882, 0.559424674667953, -0.685848504056145, 0.165746392912576, 0.964542463165855, 2, 1.3646, 0.0365, 0.5502, 0.0123438626072132, 0.00478769807582252, 0.00540719064598765, 0.0631185084111903, 0.0179397827059643, -0.624702162816208, 0.191117076921377, 0.877540786986282, -0.0611463412399372, -0.025370684008801, 0.0870016761795728
"G2P", 1701, 3, 1, -0.0825501691750181, 0.433460251207046, -0.741942678713923, 0.09569821681962, 0.902920494816857, 0, 1.2486, -0.2758, 0.6269, 0.00196675042649143, 0.0225374374829174, 0.0136818411019743, 0.0188506826089556, 0.00652733083385796, -0.728675075427978, 0.104929256610958, 0.874551439282909, -0.0132676032859451, -0.00923103979133801, 0.0283690555339485
"G2P", 1701, 3, 1, -0.0825501691750181, 0.433460251207046, -0.741942678713923, 0.09569821681962, 0.902920494816857, 1, 1.3665, -0.0856, 0.437, 0.0122641934030971, 0.00458562778560018, 0.00545023290826401, 0.0592239326213068, 0.0133448954143297, -0.675286619688577, 0.114570748903016, 0.827268529122832, -0.0666560590253462, -0.0188725320833956, 0.0756519656940255
"G2P", 1701, 3, 1, -0.0825501691750181, 0.433460251207046, -0.741942678713923, 0.09569821681962, 0.902920494816857, 2, 1.3641, -0.088, 0.4264, 0.0125388782589046, 0.00467813673876106, 0.00542204695209735, 0.060925607504793, 0.0103058404061502, -0.675866283511276, 0.11027287609365, 0.821943471819258, -0.0660763952026475, -0.0145746592740302, 0.0809770229975993
"G2P", 1701, 3, 1, -1.23928623843075, -0.0521993903231151, -1.17612689360862, -0.323938307048028, 0.613691640650246, 0, 1.1295, -1.3401, 0.0421, 0.00144474600353397, 0.0175587791026323, 0.00890008143931695, 0.0406171378765523, 0.0117937911605953, -1.10785410909664, -0.340617246459137, 0.610545922457304, -0.0682727845119833, 0.0166789394111098, 0.00314571819294174
"G2P", 1701, 3, 1, -1.23928623843075, -0.0521993903231151, -1.17612689360862, -0.323938307048028, 0.613691640650246, 1, 1.1921, -1.1196, -0.1452, 0.0106233387855984, 0.00427783948828664, 0.00460850916738608, 0.0796829784170235, 0.0271394510796811, -1.0568596627728, -0.362319286840274, 0.555809353314955, -0.119267230835823, 0.0383809797922461, 0.0578822873352909
"G2P", 1701, 3, 1, -1.23928623843075, -0.0521993903231151, -1.17612689360862, -0.323938307048028, 0.613691640650246, 2, 1.1799, -1.1076, -0.1087, 0.00983177944361383, 0.00492032634437533, 0.00444458830186116, 0.0811281985313681, 0.0150425600474556, -1.04539115834458, -0.345211699479951, 0.566777206941163, -0.130735735264038, 0.0212733924319234, 0.0469144337090829
"G2P", 1701, 3, 1, 0.44474461218675, 1.20006315865249, -0.504359069345743, 0.432898696804133, 1.23833303651087, 0, 1.1838, 0.2901, 1.3665, 0.00178561585660001, 0.0211907445409973, 0.011360022262082, 0.0527208392078795, 0.0230859138090951, -0.503829459058893, 0.465547109212731, 1.15305548178226, -0.000529610286849835, -0.0326484124085986, 0.0852775547286118
"G2P", 1701, 3, 1, 0.44474461218675, 1.20006315865249, -0.504359069345743, 0.432898696804133, 1.23833303651087, 1, 1.2958, 0.4792, 1.1518, 0.0108324309596905, 0.00489016111501625, 0.00517948979365881, 0.0842883618694754, 0.0514850214410484, -0.451061279474239, 0.505709512385133, 1.12356581745786, -0.0532977898715039, -0.0728108155810003, 0.11476721905301
