"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "p15", "th10", "th11", "th12", "th13", "th14", "a_iinfo1", "method", "p21", "p22", "p23", "p24", "p25", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "th24", "a_iinfo2", "difai", "dth0", "dth1", "dth2", "dth3", "dth4"
"G2P", 1701, 5, 1, 0.127933243076426, 0.184562372258762, 0.44474461218675, 1.20006315865249, -0.793238752511587, -0.138593954843137, 0.331586001947279, 0.785625622758658, 1.3545777968289, 1.9637992427971, 1, 1.8206, -0.063, 0.2549, 0.6498, 1.4681, 0.0542679198775409, 0.515713855659029, 0.212506333246498, 0.119259865959953, 0.106235806628925, -0.72460017200379, 0.0731855605399742, 0.34336145486169, 0.773177248842814, 1.50038293037848, 1.94672398332401, 0.0170752594730936, -0.0686385805077978, -0.211779515383111, -0.0117754529144108, 0.0124483739158435, -0.145805133549578
"G2P", 1701, 5, 1, 0.127933243076426, 0.184562372258762, 0.44474461218675, 1.20006315865249, -0.793238752511587, -0.138593954843137, 0.331586001947279, 0.785625622758658, 1.3545777968289, 1.9637992427971, 2, 1.8008, -0.0631, 0.2018, 0.5574, 1.1661, 0.0592145417232865, 0.444918450229963, 0.158469233867497, 0.114938031434247, 0.122281771108939, -0.722718129577417, 0.0527585775089388, 0.287461485072287, 0.639856759296148, 1.31895096833236, 1.87850760753633, 0.0852916352607647, -0.0705206229341699, -0.191352532352076, 0.0441245168749915, 0.14576886346251, 0.0356268284965346
"G2P", 1701, 5, 1, -1.66946155825483, 0.126680641376588, 0.593024107472919, 0.849890952080784, -1.31372551783831, -0.527377645561162, 0.100898840330069, 0.646815999323023, 1.25106418558658, 1.66832342262993, 0, 1.4148, -1.5957, -0.1008, 0.5657, 1.1575, 0.020690976281838, 0.527177499475152, 0.159146632550542, 0.06451649672456, 0.0496506854306383, -1.39092126300086, -0.50054954892053, 0.153111668270179, 0.566723327473058, 1.18041047781465, 1.48069567310466, 0.187627749525277, 0.0771957451625473, -0.0268280966406321, -0.0522128279401105, 0.0800926718499646, 0.0706537077719283
"G2P", 1701, 5, 1, -1.66946155825483, 0.126680641376588, 0.593024107472919, 0.849890952080784, -1.31372551783831, -0.527377645561162, 0.100898840330069, 0.646815999323023, 1.25106418558658, 1.66832342262993, 1, 1.6721, -1.8434, 0.0957, 0.6738, 0.9094, 0.0887222172470801, 0.313180705921855, 0.179829509271676, 0.18046119309336, 0.0951465569501448, -1.65199177727877, -0.507960584807229, 0.278055366966448, 0.580107588911138, 1.14063013472506, 1.68737886379562, -0.0190554411656823, 0.338266259440461, -0.0194170607539337, -0.177156526636379, 0.0667084104118849, 0.110434050861518
"G2P", 1701, 5, 1, -1.66946155825483, 0.126680641376588, 0.593024107472919, 0.849890952080784, -1.31372551783831, -0.527377645561162, 0.100898840330069, 0.646815999323023, 1.25106418558658, 1.66832342262993, 2, 1.5707, -1.7749, 0.0944, 0.495, 0.9722, 0.0726466506184167, 0.348902321553357, 0.138007484127717, 0.144783670209556, 0.0876096830333059, -1.56427868480236, -0.483864387921824, 0.208908680219436, 0.515887403739509, 1.14460837279907, 1.58405831799292, 0.0842651046370126, 0.250553166964046, -0.0435132576393383, -0.108009839889367, 0.130928595583513, 0.106455812787505
"G2P", 1701, 5, 1, -0.683015891334755, -0.496421215190855, 0.251778708542598, 1.40599761611697, -1.15430569549375, -0.526560593300197, 0.0182199996081789, 0.602200624701806, 1.30669368342539, 1.76560206931116, 0, 1.447, -0.9839, -0.3989, 0.3599, 1.438, 0.0170708328430342, 0.433737430773231, 0.139524009521752, 0.041940449704499, 0.0390237983082512, -1.10871313821752, -0.462149291171824, -0.0129128368546485, 0.571001939000023, 1.33169164315174, 1.59338455497331, 0.172217514337857, -0.045592557276225, -0.0644113021283724, 0.0311328364628274, 0.0311986857017832, -0.0249979597263443
"G2P", 1701, 5, 1, -0.683015891334755, -0.496421215190855, 0.251778708542598, 1.40599761611697, -1.15430569549375, -0.526560593300197, 0.0182199996081789, 0.602200624701806, 1.30669368342539, 1.76560206931116, 1, 1.6438, -0.7501, -0.3363, 0.1343, 1.6008, 0.0858928728104446, 0.280114610873444, 0.164321482515127, 0.126472444994655, 0.084510090458409, -1.04855869368333, -0.392964890497115, -0.0729973280301391, 0.553216863226924, 1.50725825349095, 1.81693314552575, -0.0513310762145889, -0.105747001810416, -0.133595702803082, 0.0912173276383181, 0.0489837614748826, -0.200564570065562
"G2P", 1701, 5, 1, -0.683015891334755, -0.496421215190855, 0.251778708542598, 1.40599761611697, -1.15430569549375, -0.526560593300197, 0.0182199996081789, 0.602200624701806, 1.30669368342539, 1.76560206931116, 2, 1.505, -0.8264, -0.3414, 0.2699, 1.3238, 0.0432697431229023, 0.34442688865687, 0.12383104474704, 0.0838177354023403, 0.0778494602703242, -1.05010847790402, -0.401959794485088, -0.024480030356405, 0.519173507245016, 1.30141638971381, 1.6728563847379, 0.0927456845732637, -0.104197217589733, -0.124600798815109, 0.0427000299645839, 0.0830271174567903, 0.00527729371158236
"G2P", 1701, 5, 1, -1.2962157712798, 0.0942909777492569, 0.841045215808977, 1.139784701832, -1.19734840776738, -0.429144115748676, 0.206836721854701, 0.775717026878816, 1.38588099793548, 1.61207216742239, 0, 1.3688, -1.3072, -0.0359, 0.78, 1.4326, 0.0174940231234461, 0.431162244991092, 0.13215133392513, 0.0579517553947624, 0.0397273667433863, -1.23045312852141, -0.403983461909527, 0.237110687563001, 0.7066990352235, 1.28901483998021, 1.43417790025589, 0.177894267166498, 0.0331047207540223, -0.0251606538391481, -0.0302739657083003, 0.0690179916553162, 0.0968661579552736
"G2P", 1701, 5, 1, -1.2962157712798, 0.0942909777492569, 0.841045215808977, 1.139784701832, -1.19734840776738, -0.429144115748676, 0.206836721854701, 0.775717026878816, 1.38588099793548, 1.61207216742239, 1, 1.5665, -1.4902, 0.1609, 0.6978, 1.1826, 0.079387416403532, 0.291287511818433, 0.151173298609495, 0.132859050562772, 0.0768055767906183, -1.41414937134675, -0.400696831167893, 0.301304250325354, 0.65797568083086, 1.25299536188439, 1.6592704369175, -0.047198269495117, 0.21680096357937, -0.0284472845807822, -0.0944675284706534, 0.117741346047956, 0.132885636051095
