"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "th10", "th11", "th12", "th13", "info", "p21", "p22", "p23", "p24", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "dth0", "dth1", "dth2", "dth3"
"P2Gn", 1701, 4, 1, -1.66946155825483, 0.126680641376588, 1.40599761611697, -1.1813622513813, -0.336932275753357, 0.357841107392479, 1.07469894030262, 0, 0.7688, -1.6768, 0.245, 1.2274, 0.00121225109787165, 0.0129384068532035, 0.00427042850151113, 0.0326926993566389, 0.0118771003136656, -1.12125247145939, -0.355820653900075, 0.365991304112143, 1.09015430141297, -0.0601097799219099, 0.0188883781467177, -0.00815019671966405, -0.0154553611103476
"P2Gn", 1701, 4, 1, -1.66946155825483, 0.126680641376588, 1.40599761611697, -1.1813622513813, -0.336932275753357, 0.357841107392479, 1.07469894030262, 1, 0.8605, -1.8489, -0.0209, 1.6814, 0.00978321705129864, 0.00153055704142948, 0.00742482673080991, 0.0915496264816761, 0.054529950872662, -1.25982308831803, -0.427450269456056, 0.384804776329827, 1.21052488361391, 0.0784608369367261, 0.090517993702699, -0.0269636689373484, -0.135825943311288
"P2Gn", 1701, 4, 1, -1.66946155825483, 0.126680641376588, 1.40599761611697, -1.1813622513813, -0.336932275753357, 0.357841107392479, 1.07469894030262, 2, 0.7667, -1.596, 0.0837, 1.3572, 0.00396941060595247, 0.00845648402376808, 0.00319010221058426, 0.0344067170994591, 0.0187745291015655, -1.12326380598797, -0.369286001488774, 0.354572275797859, 1.09208889545409, -0.0580984453933335, 0.0323537257354172, 0.0032688315946201, -0.0173899551514687
"P2Gn", 1701, 4, 1, -0.683015891334755, -0.496421215190855, 0.251778708542598, -0.797822330295823, -0.294431623399177, -0.0597473387094657, 0.646511457716136, 0, 0.4798, 1.5839, -1.8559, -0.514, 0.00376547527465451, 0.023775144148414, 0.00885995766812873, 0.0924986599446093, 0.101358730229161, -0.838197749201709, -0.37000481210212, 0.0987123398534815, 0.604403770373265, 0.0403754189058856, 0.0755731887029431, -0.158459678562947, 0.0421076873428708
"P2Gn", 1701, 4, 1, -0.683015891334755, -0.496421215190855, 0.251778708542598, -0.797822330295823, -0.294431623399177, -0.0597473387094657, 0.646511457716136, 1, 0.4138, -3.6721, 3.4286, -0.8516, 0.0554347215712294, 0.0616523943574308, 0.0241661979402676, 0.244776091614897, 0.247919831661255, -0.762542268851858, -0.189160091396475, 0.356558598484132, 0.878941938885735, -0.0352800614439646, -0.105271532002702, -0.416305937193598, -0.232430481169599
"P2Gn", 1701, 4, 1, -0.683015891334755, -0.496421215190855, 0.251778708542598, -0.797822330295823, -0.294431623399177, -0.0597473387094657, 0.646511457716136, 2, 0.4607, 0.6959, -0.8674, -0.3696, 0.00757947011527889, 0.0149170822871168, 0.00644666550434431, 0.105899392832018, 0.122280782561828, -0.797417094280655, -0.321433899706471, 0.15032085599412, 0.64740142441937, -0.000405236015167842, 0.0270022763072947, -0.210068194703586, -0.000889966703234601
"P2Gn", 1701, 4, 1, 0.0942909777492569, 0.841045215808977, 1.139784701832, -0.534364001041816, 0.228453779480519, 0.493368701806336, 0.969814048918151, 0, 0.5299, 0.8327, 1.4925, -0.3912, 0.00371632761245264, 0.0303833525471317, 0.0105825076207412, 0.0990367951046292, 0.105260457827619, -0.50612583517763, 0.0582593344595369, 0.558737982284551, 1.04190053295484, -0.0282381658641859, 0.170194445020982, -0.0653692804782155, -0.0720864840366924
"P2Gn", 1701, 4, 1, 0.0942909777492569, 0.841045215808977, 1.139784701832, -0.534364001041816, 0.228453779480519, 0.493368701806336, 0.969814048918151, 1, 0.6284, -0.2935, 0.5701, 1.8844, 0.0251935882669233, 0.00249846940117192, 0.0154971997718473, 0.204005655866218, 0.158853575474743, -0.695324116002091, -0.024703633843924, 0.601140216605965, 1.22449364482302, 0.160960114960274, 0.253157413324443, -0.107771514799629, -0.254679595904871
"P2Gn", 1701, 4, 1, 0.0942909777492569, 0.841045215808977, 1.139784701832, -0.534364001041816, 0.228453779480519, 0.493368701806336, 0.969814048918151, 2, 0.4905, 0.4686, 1.1371, 0.0711, 0.00869230392775754, 0.0151944913365349, 0.00654371415469105, 0.119931842909483, 0.137811861430029, -0.554741442146579, -0.0102336594674807, 0.491216042782423, 0.981773154915387, 0.0203774411047632, 0.238687438947999, 0.00215265902391276, -0.0119591059972358
"P2Gn", 1701, 4, 1, -1.2962157712798, 0.456785988985529, 0.836484721966712, -1.03107165949325, -0.184389069588349, 0.321380401954851, 0.854381440498288, 0, 0.6132, -1.3938, 1.5145, -0.3496, 0.00379423563212968, 0.0302953808533577, 0.0110532889401558, 0.0841685570388249, 0.0374813065454521, -0.888056831215297, -0.247365388131573, 0.337145183076226, 0.914958646174656, -0.143014828277952, 0.0629763185432239, -0.0157647811213746, -0.060577205676368
