"mode","seed","ncat","p11","p12","p13","p14","th10","th11","th12","th13","info","p21","p22","p23","p24","rmse_p","rmse_ii","rmse_iic","rmse_t","rmse_tt","th20","th21","th22","th23"
"G2P",1701,4,1,-0.683015891334755,-0.496421215190855,0.251778708542598,-1.1503024968854,-0.508498071915007,0.0853130230684216,0.825441182009184,1,1.631,-0.7528,-0.4326,0.0163,0.0166031866081262,0.0166111957537516,0.0192333611315036,0.152360403711214,0.143454072869384,-1.0468547543201,-0.428783128966857,-0.15002235663301,0.682556186415258
"G2P",1701,4,1,-0.683015891334755,-0.496421215190855,0.251778708542598,-1.1503024968854,-0.508498071915007,0.0853130230684216,0.825441182009184,2,1.5415,-0.7992,-0.3177,0.1975,0.0108090878150246,0.0283310788707383,0.014584259176317,0.10736229709184,0.100566844899195,-1.04711372639876,-0.389566356093612,-0.0419517318746317,0.753903373027736
"G2P",1701,4,1,0.0942909777492569,0.841045215808977,1.139784701832,-0.663790781645329,0.140571744310744,0.758920307551361,1.38220675526272,0,1.3421,-0.092,0.7696,1.4359,0.00264864807538132,0.056627898998155,0.0194182204744882,0.0717576508285289,0.0554783805042391,-0.673573376440057,0.212512847838944,0.695217640941052,1.27605878995637
"G2P",1701,4,1,0.0942909777492569,0.841045215808977,1.139784701832,-0.663790781645329,0.140571744310744,0.758920307551361,1.38220675526272,1,1.5811,0.3,0.7951,1.1696,0.0154502570894847,0.0168551591318203,0.0171985932023507,0.155756379425504,0.146934051489536,-0.540617381735158,0.386728190251247,0.694299485958557,1.25144106396663
"G2P",1701,4,1,0.0942909777492569,0.841045215808977,1.139784701832,-0.663790781645329,0.140571744310744,0.758920307551361,1.38220675526272,2,1.4951,0.1439,0.6409,1.229,0.0111920446853944,0.0269028208866934,0.0127962120280077,0.116542774259637,0.103650108193396,-0.597303473943181,0.269440791793127,0.633929094314224,1.24924707694805
"G2P",1701,4,1,-1.2962157712798,0.456785988985529,0.836484721966712,-1.14190736578204,-0.308135497608305,0.414998094674457,1.14352497503696,0,1.2644,-1.2935,0.2716,1.0775,0.00216585780475489,0.0356089027753746,0.0145099023881605,0.0393855698892023,0.0164610740323197,-1.16978286364664,-0.280431757382296,0.408259871438145,1.07559156495108
"G2P",1701,4,1,-1.2962157712798,0.456785988985529,0.836484721966712,-1.14190736578204,-0.308135497608305,0.414998094674457,1.14352497503696,1,1.4007,-1.6734,0.1961,0.8874,0.0103618349712348,0.0282831904372303,0.0200890159986808,0.157736040846339,0.0655377235275833,-1.4194451616209,-0.403386004469688,0.353249244011603,1.04549525202967
"G2P",1701,4,1,-1.2962157712798,0.456785988985529,0.836484721966712,-1.14190736578204,-0.308135497608305,0.414998094674457,1.14352497503696,2,1.3246,-1.2674,0.3266,0.9062,0.00624053714120092,0.0303387950238037,0.012825367944379,0.0684546373612356,0.0289693470666307,-1.18996424489399,-0.263844782891777,0.391418404296933,1.02555456914357
"G2P",1701,4,1,0.00946952877470287,0.277708499827166,1.91466583762641,-0.746570609611927,0.0408451536241677,0.724385007142561,1.47373671860386,0,1.3266,-0.2441,0.4834,1.9005,0.00202015347479006,0.0327281720152555,0.0146192528252911,0.0273710447477815,0.0307604874669176,-0.734025709646873,0.0755209759167187,0.683934913002465,1.47290060880254
"G2P",1701,4,1,0.00946952877470287,0.277708499827166,1.91466583762641,-0.746570609611927,0.0408451536241677,0.724385007142561,1.47373671860386,1,1.4769,-0.0506,0.5647,2.4626,0.0104817748881508,0.0175966902677436,0.0217913614415134,0.202632397602844,0.102752773016006,-0.678003297986187,0.174085844203965,0.842373631430054,1.83131703255038
"G2P",1701,4,1,0.00946952877470287,0.277708499827166,1.91466583762641,-0.746570609611927,0.0408451536241677,0.724385007142561,1.47373671860386,2,1.4301,-0.0823,0.3416,1.8784,0.00933352033595807,0.023523348276428,0.0110328779341396,0.0607513685494865,0.0495288947992688,-0.684577719034088,0.0873151976271145,0.652274888085141,1.53340632879393
"G2P",1701,4,1,-1.12190686607833,-0.555400536215002,-0.324189223028158,-1.33541592224597,-0.720235732117068,-0.133622604217363,0.637793274645502,0,1.4308,-1.3418,-0.6396,-0.0273,0.0025698171956933,0.0564665421004796,0.0205036225425082,0.0637981190878463,0.0654716605471916,-1.27692591536189,-0.648974111967571,-0.221834828416103,0.638115899610692
"G2P",1701,4,1,-1.12190686607833,-0.555400536215002,-0.324189223028158,-1.33541592224597,-0.720235732117068,-0.133622604217363,0.637793274645502,1,1.6873,-0.9615,-0.6287,-0.2938,0.0145807487611183,0.0125222746061088,0.0178607442539252,0.154188052563536,0.142728965191305,-1.17297876882578,-0.583158277507041,-0.339351658926167,0.550642136452435
