"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "th10", "th11", "th12", "th13", "a_iinfo1", "method", "p21", "p22", "p23", "p24", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "a_iinfo2", "difai", "dth0", "dth1", "dth2", "dth3"
"P2Gn", 1703, 4, 1, 1.37793390645166, 1.45539821703294, 1.82309850258371, -0.210041822037651, 0.708152834264076, 0.81501742153616, 1.24473037647476, 0.342206501718154, 1, 0.4395, -1.5432, 5.5446, -2.8785, 0.425971110526651, 0.0925713756493364, 0.0861209216752495, 0.472767641617033, 0.472681408982352, -0.615539512503419, -0.0441752465008121, 0.492084607958406, 1.00116221009248, 0.361095921339183, -0.0188894196210291, 0.405497690465768, 0.752328080764888, 0.322932813577753, 0.243568166382289
"P2Gn", 1703, 4, 1, 1.37793390645166, 1.45539821703294, 1.82309850258371, -0.210041822037651, 0.708152834264076, 0.81501742153616, 1.24473037647476, 0.342206501718154, 2, 0.3848, 5.0687, -0.8444, 0.2719, 0.0265793935306889, 0.0487586679068407, 0.0197279394347143, 0.229498547919054, 0.259257033062737, -0.23265877277362, 0.268100217792444, 0.725595263689519, 1.15240389083957, 0.31811365717266, 0.0240928445454938, 0.0226169507359699, 0.440052616471633, 0.0894221578466403, 0.0923264856351906
"P2Gn", 1703, 4, 1, -0.28393004614517, 0.849517604995017, 0.969183194822615, -0.657372830592983, 0.133991782291587, 0.454403464566429, 0.904314233853431, 0.676720594500362, 0, 0.5632, 0.0258, 2.6374, -1.3396, 0.0351849333347234, 0.270599550677832, 0.100022340264851, 0.0982776211881891, 0.0886478455174218, -0.596670390377671, -0.00952213959869907, 0.508984374858499, 1.0109625133187, 0.713790498344043, -0.0370699038436817, -0.0607024402153122, 0.143513921890286, -0.0545809102920698, -0.106648279465264
"P2Gn", 1703, 4, 1, -0.28393004614517, 0.849517604995017, 0.969183194822615, -0.657372830592983, 0.133991782291587, 0.454403464566429, 0.904314233853431, 0.676720594500362, 1, 0.6485, -0.7619, 0.3336, 1.5756, 0.197598939028268, 0.0152906221394519, 0.125006847303316, 0.204043056262756, 0.17151003822006, -0.833999484222082, -0.162320772198482, 0.475520985308911, 1.121317046815, 0.678582208978229, -0.00186161447786759, 0.176626653629099, 0.296312554490068, -0.0211175207424817, -0.217002812961567
"P2Gn", 1703, 4, 1, -0.28393004614517, 0.849517604995017, 0.969183194822615, -0.657372830592983, 0.133991782291587, 0.454403464566429, 0.904314233853431, 0.676720594500362, 2, 0.5024, -0.0066, 1.2037, -0.2142, 0.0711347930471587, 0.130552102091034, 0.0680830809315085, 0.11670495889852, 0.134226597717228, -0.638596858008803, -0.0944631194186516, 0.411290862130568, 0.913107070444183, 0.615471477465074, 0.061249117035288, -0.0187759725841802, 0.228454901710238, 0.0431126024358611, -0.00879283659075281
"P2Gn", 1703, 4, 1, -1.26580376302707, -0.293484101647757, 0.27474308485681, -1.01907696371045, -0.374741267532542, -0.00462255860030153, 0.654261985344842, 0.713757799820796, 0, 0.5625, -0.9438, 0.2012, -0.6228, 0.0186787367732132, 0.145649385114233, 0.0489359153194645, 0.0595924015324079, 0.065455295031375, -0.982309769951955, -0.443013446012415, 0.0858876429713742, 0.654323644012163, 0.711246576466685, 0.00251122335411069, -0.0367671937584941, 0.0682721784798732, -0.0905102015716757, -0.0000616586673208852
"P2Gn", 1703, 4, 1, -1.26580376302707, -0.293484101647757, 0.27474308485681, -1.01907696371045, -0.374741267532542, -0.00462255860030153, 0.654261985344842, 0.713757799820796, 1, 0.7028, -1.825, -0.4859, 0.7191, 0.158484436112122, 0.0127405724268003, 0.092228459593941, 0.178345819385131, 0.127377360623156, -1.2410867408539, -0.563500787684239, 0.109591361523584, 0.825333923497677, 0.715957600283379, -0.00219980046258383, 0.222009777143447, 0.188759520151697, -0.114213920123886, -0.171071938152835
"P2Gn", 1703, 4, 1, -1.26580376302707, -0.293484101647757, 0.27474308485681, -1.01907696371045, -0.374741267532542, -0.00462255860030153, 0.654261985344842, 0.713757799820796, 2, 0.565, -1.013, -0.2046, -0.0833, 0.0533584407887666, 0.100552448911431, 0.0361594239901931, 0.0663934265158045, 0.0739018747910815, -1.00416178701203, -0.449475944827154, 0.0992965893108526, 0.686284236189889, 0.672582938849472, 0.0411748609713239, -0.0149151766984159, 0.0747346772946117, -0.103919147911154, -0.0320222508450466
"P2Gn", 1703, 4, 1, -1.14381927312856, -0.439877598634804, -0.0605018862963589, -0.971379971236954, -0.387826682593665, -0.124346473543267, 0.544912414977106, 0.643702361325429, 0, 0.4925, -0.4633, 0.3207, -1.5785, 0.0184431316174181, 0.133745894263353, 0.0454184060643544, 0.0819186066675995, 0.0935945355690258, -0.947946222201342, -0.466017439636365, 0.0176606276109857, 0.54121368351422, 0.63126865301917, 0.0124337083062588, -0.0234337490356118, 0.0781907570427006, -0.142007101154253, 0.00369873146288624
"P2Gn", 1703, 4, 1, -1.14381927312856, -0.439877598634804, -0.0605018862963589, -0.971379971236954, -0.387826682593665, -0.124346473543267, 0.544912414977106, 0.643702361325429, 1, 0.6356, -1.8663, -0.5578, 0.341, 0.180855284497151, 0.0175162469573957, 0.0988595859568202, 0.199112529867618, 0.150801838543892, -1.22313576396845, -0.59492919800011, 0.0348142365486937, 0.709164159268045, 0.646742427386343, -0.00304006606091378, 0.251755792731492, 0.207102515406445, -0.159160710091961, -0.164251744290938
"P2Gn", 1703, 4, 1, -1.14381927312856, -0.439877598634804, -0.0605018862963589, -0.971379971236954, -0.387826682593665, -0.124346473543267, 0.544912414977106, 0.643702361325429, 2, 0.495, -0.5872, -0.2675, -0.7741, 0.0568826827916154, 0.0952041719772445, 0.0327942912324739, 0.0908996483093505, 0.103243602783552, -0.961190819094248, -0.46322320207697, 0.0378049661573635, 0.576048260597283, 0.599126702261823, 0.0445756590636058, -0.0101891521427063, 0.0753965194833051, -0.162151439700631, -0.0311358456201767
