"mode","seed","ncat","p11","p12","p13","p14","th10","th11","th12","th13","info","p21","p22","p23","p24","rmse_p","rmse_ii","rmse_iic","rmse_t","rmse_tt","th20","th21","th22","th23"
"P2G",1701,4,1,-1.23928623843075,-0.0825501691750181,-0.0521993903231151,-0.983172855519029,-0.325725985312745,-0.0356353546434784,0.547646958738898,1,0.4447,-1.3876,-9.0646,8.4311,0.0857004369289864,0.0930384818620901,0.0298028475017366,0.343681528529488,0.245147378643617,-1.48333356398684,-0.748746852478679,0.00103967377766822,0.752623850477769
"P2G",1701,4,1,-1.23928623843075,-0.0825501691750181,-0.0521993903231151,-0.983172855519029,-0.325725985312745,-0.0356353546434784,0.547646958738898,2,0.4344,-1.3311,-1.3237,0.6313,0.0343975981106684,0.0408457090150849,0.0167880100920968,0.0929351432214422,0.103628997808701,-1.00512064217501,-0.488382994628488,0.0402567060807213,0.590648708502788
"P2G",1701,4,1,0.184562372258762,0.44474461218675,1.20006315865249,-0.506520684804994,0.165628107417398,0.418743919988183,0.969855153430576,0,0.4899,2.1341,-0.8019,0.6283,0.00263195733254693,0.0135711408983955,0.00782054075257443,0.085849690956661,0.0990650855457461,-0.512582457611141,0.00985073730623024,0.490681980038523,0.968352110748056
"P2G",1701,4,1,0.184562372258762,0.44474461218675,1.20006315865249,-0.506520684804994,0.165628107417398,0.418743919988183,0.969855153430576,1,0.592,0.3829,0.3857,1.9243,0.0189707408902307,0.00325135727044654,0.0098962431217661,0.18126760237659,0.143558474112435,-0.582259922030386,0.0553172800239575,0.641586078989227,1.2225768109146
"P2G",1701,4,1,0.184562372258762,0.44474461218675,1.20006315865249,-0.506520684804994,0.165628107417398,0.418743919988183,0.969855153430576,2,0.5233,0.7555,0.2921,1.0174,0.0115058877898728,0.0061097255353569,0.00458350804469127,0.107382726022005,0.111251381002817,-0.556737286928603,0.0113124050665839,0.534144411031665,1.05030316731361
"P2G",1701,4,1,0.127933243076426,0.593024107472919,0.849890952080784,-0.523968690676856,0.188303219681142,0.377120958726069,0.849684673661289,0,0.4608,1.5303,1.0585,-1.0897,0.00300305329014265,0.0140767818197106,0.00837094233425431,0.108080280223037,0.121717622267823,-0.508265389513542,-0.0111952921707937,0.445281669406494,0.894776308288323
"P2G",1701,4,1,0.127933243076426,0.593024107472919,0.849890952080784,-0.523968690676856,0.188303219681142,0.377120958726069,0.849684673661289,1,0.5211,0.6613,0.0208,1.2004,0.0188175321697656,0.002480729637981,0.00928684271090981,0.155552849834165,0.143833353594866,-0.594453840853347,-0.030627770704398,0.496004608854437,1.02217959866397
"P2G",1701,4,1,0.127933243076426,0.593024107472919,0.849890952080784,-0.523968690676856,0.188303219681142,0.377120958726069,0.849684673661289,2,0.4765,0.6284,0.9265,-0.1251,0.0110031558569911,0.00598071746790527,0.00469914436015909,0.12738232883518,0.138355058064559,-0.565620510597974,-0.0414925492553332,0.445093533011855,0.925472472276974
"P2G",1701,4,1,-1.66946155825483,0.126680641376588,1.40599761611697,-1.12532677047942,-0.347133751871672,0.371638957937422,1.03922171241964,0,0.7993,-1.6562,0.2326,1.2288,0.00152183807918514,0.0159881246141195,0.00734321877274708,0.0357492885901072,0.00797136696179353,-1.14075969740775,-0.360939622950851,0.371800195227772,1.10765593800524
"P2G",1701,4,1,-1.66946155825483,0.126680641376588,1.40599761611697,-1.12532677047942,-0.347133751871672,0.371638957937422,1.03922171241964,1,0.8562,-1.9377,0.0699,1.7431,0.00975791922629561,0.00398972375812253,0.00572006190174568,0.125625247911943,0.0436802670769261,-1.26162929183079,-0.411635233255331,0.411179520592096,1.23626114281181
"P2G",1701,4,1,-1.66946155825483,0.126680641376588,1.40599761611697,-1.12532677047942,-0.347133751871672,0.371638957937422,1.03922171241964,2,0.82,-1.8214,0.1038,1.5737,0.00652903575784907,0.00551336840004915,0.00458648745512919,0.0829878611348085,0.0275698595076375,-1.20425249706704,-0.390634828075355,0.3913353492042,1.17720134354584
"P2G",1701,4,1,-0.683015891334755,-0.496421215190855,0.251778708542598,-0.792209414425659,-0.309613209429681,-0.062963443379156,0.646103698152867,0,0.5023,1.4471,-1.7819,-0.4579,0.00397669620970399,0.0223312986072175,0.0111363437949903,0.094041849005316,0.100591686796694,-0.855741937242386,-0.379403700851235,0.0966778722786343,0.614750330804455
"P2G",1701,4,1,-0.683015891334755,-0.496421215190855,0.251778708542598,-0.792209414425659,-0.309613209429681,-0.062963443379156,0.646103698152867,1,0.4047,-3.1196,3.3159,-1.3925,0.0485661278621552,0.0581626768777547,0.0221292917092099,0.19871705188661,0.21205350519458,-0.76059001225638,-0.222122046405202,0.293751237547417,0.794609634238122
"P2G",1701,4,1,-0.683015891334755,-0.496421215190855,0.251778708542598,-0.792209414425659,-0.309613209429681,-0.062963443379156,0.646103698152867,2,0.508,0.1506,-0.8354,0.0438,0.0113681858489146,0.00916055761681699,0.00705749613598796,0.115169221447375,0.123876141467559,-0.867062694173562,-0.358901019516612,0.145858507218732,0.683745290992277
"P2G",1701,4,1,0.0942909777492569,0.841045215808977,1.139784701832,-0.534439728584484,0.239988295471109,0.513133410639247,0.949310775649861,0,0.5546,0.7813,1.4608,-0.3018,0.00393002358067918,0.0297932925702752,0.0129868507325232,0.108948363927029,0.106128972766805,-0.512660263900608,0.0666820601844639,0.574411672628162,1.06426538558777
"P2G",1701,4,1,0.0942909777492569,0.841045215808977,1.139784701832,-0.534439728584484,0.239988295471109,0.513133410639247,0.949310775649861,1,0.5956,0.2004,0.4013,1.7558,0.0199306691606747,0.00341128185689386,0.0124068789157513,0.174243362305358,0.138974888531956,-0.618510816304036,0.0168494782743348,0.603417003763542,1.18686706479445
"P2G",1701,4,1,0.0942909777492569,0.841045215808977,1.139784701832,-0.534439728584484,0.239988295471109,0.513133410639247,0.949310775649861,2,0.5415,0.1729,1.2192,0.5152,0.0119853719876753,0.01141951645088,0.00714669229400368,0.131595023169889,0.129955593207405,-0.574269982392087,0.0193604795018744,0.557728650725055,1.07976069997445
