"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "th10", "th11", "th12", "th13", "a_iinfo1", "method", "p21", "p22", "p23", "p24", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "a_iinfo2", "difai", "dth0", "dth1", "dth2", "dth3"
"P2G", 1703, 4, 1, -1.26580376302707, -0.293484101647757, 0.27474308485681, -0.992151296849716, -0.390462994088768, -0.00488006388796858, 0.653730159729231, 0.714442017514171, 1, 0.6863, -1.8679, -0.4288, 0.4483, 0.131540363491173, 0.0288626496061183, 0.0667375174876314, 0.170671419704588, 0.118420095753641, -1.24029090704541, -0.58118261611291, 0.0705916726090317, 0.767183721299334, 0.718426150512387, -0.00398413299821643, 0.248139610195698, 0.190719622024142, -0.0754717364970003, -0.113453561570103
"P2G", 1703, 4, 1, -1.26580376302707, -0.293484101647757, 0.27474308485681, -0.992151296849716, -0.390462994088768, -0.00488006388796858, 0.653730159729231, 0.714442017514171, 2, 0.6171, -1.294, -0.3365, 0.1932, 0.0826024764535896, 0.0562564089185226, 0.0386742275120803, 0.0923587545215992, 0.0821749900439638, -1.08800591136048, -0.49563539182134, 0.0910206854383968, 0.722098749431958, 0.707459822572947, 0.00698219494122432, 0.0958546145107668, 0.105172397732572, -0.0959007493263654, -0.0683685897027262
"P2G", 1703, 4, 1, -1.14381927312856, -0.439877598634804, -0.0605018862963589, -0.95068852506236, -0.404922815287472, -0.131292495278558, 0.545032692883361, 0.643756649596648, 0, 0.5129, -0.5047, 0.2739, -1.4873, 0.0191147741624092, 0.113726576871674, 0.0614661976568051, 0.0812166545050042, 0.0932864574923055, -0.967060542943933, -0.477483841681992, 0.013075045751151, 0.548106363658701, 0.665019125082633, -0.0212624754859857, 0.0163720178815736, 0.0725610263945206, -0.144367541029709, -0.00307367077533949
"P2G", 1703, 4, 1, -1.14381927312856, -0.439877598634804, -0.0605018862963589, -0.95068852506236, -0.404922815287472, -0.131292495278558, 0.545032692883361, 0.643756649596648, 1, 0.6036, -1.7729, -0.3746, -0.1591, 0.132488178436113, 0.0240556552329903, 0.0661989361983165, 0.170984867896967, 0.13275393921687, -1.18883945364047, -0.599289186944703, -0.00844080134806113, 0.630803377173306, 0.647397470047002, -0.0036408204503543, 0.238150928578114, 0.194366371657231, -0.122851693930497, -0.0857706842899446
"P2G", 1703, 4, 1, -1.14381927312856, -0.439877598634804, -0.0605018862963589, -0.95068852506236, -0.404922815287472, -0.131292495278558, 0.545032692883361, 0.643756649596648, 2, 0.5414, -0.9469, -0.4277, -0.4209, 0.084133473199014, 0.0450096326235695, 0.032591195855773, 0.107397089407488, 0.107642442716125, -1.04226086367145, -0.513018177016051, 0.0206156322013446, 0.599716873710895, 0.634171148877077, 0.00958550071957076, 0.0915723386090943, 0.108095361728579, -0.151908127479903, -0.0546841808275335
"P2G", 1703, 4, 1, -0.606963068705711, -0.565194605089549, 1.16743644950945, -0.766107629199138, -0.308208849018814, 0.137572017523621, 0.958746042394365, 0.674710134564042, 0, 0.5657, 2.885, -3.8756, 1.2974, 0.0371448296108504, 0.251143920069309, 0.0998664854695531, 0.092623064305574, 0.050817954663681, -0.853459344576087, -0.317444992455617, 0.225105366614208, 0.821129137773157, 0.700122346884818, -0.0254122123207757, 0.0873517153769497, 0.00923614343680307, -0.0875333490905872, 0.137616904621208
"P2G", 1703, 4, 1, -0.606963068705711, -0.565194605089549, 1.16743644950945, -0.766107629199138, -0.308208849018814, 0.137572017523621, 0.958746042394365, 0.674710134564042, 1, 0.7204, -1.1247, 0.3126, 2.004, 0.254216452357947, 0.0517301034424679, 0.135161346571036, 0.255563405256967, 0.224978859314962, -0.942017628464872, -0.202295827175966, 0.512577208447829, 1.23885285625024, 0.681529060008245, -0.00681892544420259, 0.175909999265735, -0.105913021842849, -0.375005190924207, -0.280106813855877
"P2G", 1703, 4, 1, -0.606963068705711, -0.565194605089549, 1.16743644950945, -0.766107629199138, -0.308208849018814, 0.137572017523621, 0.958746042394365, 0.674710134564042, 2, 0.5681, 0.0774, -0.9707, 1.3124, 0.0980974540149207, 0.150744251036115, 0.0794470309574674, 0.0935523182838916, 0.0873904627669405, -0.848696272368062, -0.278840024906624, 0.286060236309245, 0.886110086444035, 0.657687351980158, 0.0170227825838846, 0.0825886431689247, -0.0293688241121906, -0.148488218785624, 0.0726359559503295
"P2G", 1703, 4, 1, -2.18547442188002, 0.0742001241044672, 0.155819540641819, -1.28091125988149, -0.434309781699418, 0.060804427212985, 0.614494918968352, 0.595292705916824, 0, 0.5241, -2.8564, 3.2048, -3.0278, 0.0244788167197114, 0.136375872124975, 0.0580242522201163, 0.118249648542839, 0.0228161036738189, -1.04871857383172, -0.469343651087523, 0.0790897151861225, 0.635866636410981, 0.577969582861221, 0.0173231230556028, -0.232192686049774, 0.0350338693881048, -0.0182852879731375, -0.0213717174426293
"P2G", 1703, 4, 1, -2.18547442188002, 0.0742001241044672, 0.155819540641819, -1.28091125988149, -0.434309781699418, 0.060804427212985, 0.614494918968352, 0.595292705916824, 1, 0.6495, -2.6907, -0.3563, 0.4866, 0.201609164548817, 0.0717176822314598, 0.0793736710828443, 0.115447057463765, 0.105183768534165, -1.30668194686729, -0.616459683825664, 0.0572989109106988, 0.753983587007374, 0.599008241723103, -0.00371553580627926, 0.0257706869857985, 0.182149902126246, 0.00350551630228622, -0.139488668039022
