"","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6"
"ジョンソン",2,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,1,0,0,0,0,12,8,2,4,1,0,1,5,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0
"木村　昇吾",5,14,3,5,0,0,3,6,2,1,2,0,1,4,0,0,1,0,1,1,0,0,0,0,4,7,0,6,0,0,2,3,0,2,1,0,0,1,0,0,2,0,0,7,0,3,0,0,3,2,0,0,0,0
"黒田　博樹",1,5,0,0,0,0,4,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,3,0,0,0,0,5,7,2,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,4,1,0,0,0,0
"大瀬良　大地",1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
"今井　啓介",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"野村　祐輔",1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ロサリオ",3,3,2,1,2,0,2,7,0,3,0,0,0,2,0,1,0,0,4,8,2,2,0,1,1,1,0,2,0,0,5,22,3,10,3,1,4,6,0,1,0,0,2,9,2,1,0,0,0,2,0,1,0,0
"堂林　翔太",3,4,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,13,1,9,1,0,4,1,0,2,0,0,0,4,1,1,0,0,1,3,0,0,0,0
"福井　優也",2,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,4,6,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0
"安部　友裕",1,7,0,3,0,0,1,5,0,1,0,0,0,3,0,1,0,0,2,4,0,2,0,0,2,9,0,2,0,0,0,13,0,5,0,0,0,1,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0
"シアーホルツ",10,13,3,2,1,0,8,9,2,3,3,0,4,4,0,3,1,1,3,7,0,1,0,2,8,13,1,6,2,1,15,28,3,13,1,2,4,6,1,3,0,0,8,14,2,0,1,1,1,5,0,2,0,2
"九里　亜蓮",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"中東　直己",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"戸田　隆矢",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"エルドレッド",9,10,5,2,0,1,13,5,0,4,0,4,10,6,2,1,0,1,9,7,2,3,1,0,8,18,6,3,4,1,18,31,6,15,1,7,10,9,1,3,0,1,7,12,5,1,0,3,1,9,1,0,0,0
"赤松　真人",0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"薮田　和樹",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"中村　恭平",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"今村　猛",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"下水流　昂",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"秋山　翔吾",15,36,9,13,5,2,16,32,4,15,5,3,4,15,3,8,0,0,1,22,4,11,1,1,17,78,19,33,10,1,13,66,9,28,4,3,4,9,2,5,3,0,0,10,1,5,1,1,2,8,1,6,1,0
"栗山　巧",16,27,13,8,5,0,12,36,6,12,3,1,4,12,2,4,0,0,8,23,1,7,2,0,19,70,14,24,6,4,10,60,13,26,4,2,3,10,2,6,0,1,1,13,0,2,0,0,2,11,1,2,1,1
"浅村　栄斗",30,34,7,11,2,2,26,24,10,9,3,0,11,8,2,5,1,0,7,11,4,7,1,1,22,64,18,27,4,3,15,43,12,21,6,4,3,13,4,3,0,0,4,12,0,3,0,0,5,8,2,2,1,1
"中村　剛也",43,23,6,3,6,4,27,16,7,11,3,5,9,13,3,2,0,2,11,11,4,2,1,2,25,45,20,21,11,9,26,46,10,11,4,6,3,9,3,5,1,1,9,4,1,2,1,1,3,6,3,4,2,2
"メヒア",22,26,3,4,2,1,25,28,2,4,6,2,12,3,2,1,0,2,4,15,1,0,3,0,34,56,12,9,3,6,30,32,14,12,6,2,2,7,2,4,0,2,4,8,1,3,2,0,5,7,1,1,5,3
"森　友哉",25,29,4,7,2,1,14,28,8,9,2,2,10,7,1,5,2,0,2,12,1,6,1,1,31,45,13,19,10,1,26,35,9,15,4,3,5,5,1,5,4,0,8,6,0,4,1,0,3,7,1,2,2,2
"木村　文紀",4,5,1,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,3,12,1,2,1,1,4,5,0,2,0,0,2,2,1,0,0,0,1,1,0,0,0,0,2,1,0,1,2,1
"炭谷　銀仁朗",15,28,4,5,0,0,12,23,4,6,1,0,4,8,0,2,0,0,5,8,0,6,2,1,20,61,2,16,3,0,13,41,2,12,5,2,3,9,1,0,1,0,1,9,0,2,1,0,5,7,2,1,0,0
"鬼﨑　裕司",5,5,0,1,1,0,5,8,0,3,0,0,1,0,0,0,0,0,0,3,1,1,0,0,5,20,6,6,2,0,3,13,1,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"坂田　遼",1,1,0,0,0,0,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"金子　侑司",4,7,0,1,1,0,9,9,0,1,0,0,2,1,0,4,0,0,4,5,0,1,0,0,6,22,5,5,2,0,8,13,2,6,1,1,3,2,1,0,0,0,0,3,0,2,0,0,3,4,0,1,0,0
"森本　稀哲",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"脇谷　亮太",17,23,3,8,1,2,6,13,4,6,3,0,4,9,3,2,0,0,2,6,2,1,1,0,7,32,5,15,4,1,3,18,5,8,0,0,1,1,1,5,1,0,0,1,0,1,1,0,1,2,1,0,0,0
"渡辺　直人",7,13,3,5,1,0,0,7,0,3,0,0,2,5,0,5,1,0,0,5,0,4,0,0,5,14,3,6,1,0,9,10,3,7,1,0,1,6,1,0,0,0,0,4,1,1,0,0,0,7,1,1,0,0
"米野　智人",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"岡田　雅利",3,5,1,0,0,0,3,4,0,2,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,4,0,3,0,1,1,4,2,3,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0
"斉藤　彰吾",13,6,0,1,0,0,2,1,1,1,1,0,1,1,1,0,0,0,2,4,1,2,1,0,9,13,0,5,0,1,3,5,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"熊代　聖人",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"大﨑　雄太朗",5,6,1,2,1,0,1,7,1,1,0,0,3,3,0,2,0,0,0,1,0,0,0,0,2,10,0,1,2,0,3,7,1,4,0,0,1,3,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0
"セラテリ",2,2,1,0,0,0,5,5,1,1,0,0,1,2,0,1,0,0,1,1,1,1,0,0,1,4,4,1,0,0,5,4,2,5,2,0,2,3,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
"十亀　剣",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"野上　亮磨",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"西口　文也",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"岸　孝之",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"牧田　和久",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"菊池　雄星",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"郭　俊麟",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"永江　恭平",3,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"田代　将太郎",0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"外崎　修汰",8,14,1,3,0,0,4,3,1,1,1,0,2,1,0,1,0,0,2,2,0,1,0,0,7,12,1,1,1,0,3,9,1,2,0,1,0,4,2,0,0,0,0,2,0,1,0,0,2,0,0,2,1,0
"上本　達之",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"中田　祥多",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"山川　穂高",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"西川　遥輝",16,34,9,6,2,1,17,18,3,10,0,1,8,15,2,3,1,0,10,15,1,6,2,0,12,40,12,14,11,1,12,49,9,17,3,0,9,11,4,4,1,0,3,19,5,10,2,1,0,0,2,0,0,0
"田中　賢介",11,51,9,15,3,0,8,25,5,10,0,1,5,18,1,9,1,0,3,27,5,8,1,1,10,64,12,19,6,0,4,53,9,17,4,0,2,18,2,7,3,0,1,24,6,14,0,1,0,3,0,1,0,0
"陽　岱鋼",20,28,4,16,2,0,9,14,1,10,1,0,8,14,3,1,0,0,7,10,0,5,2,2,17,38,2,9,2,1,12,15,1,4,1,0,3,7,3,6,0,1,5,14,3,7,2,0,0,4,0,1,0,0
"中田　翔",20,37,6,15,3,4,13,21,8,6,1,1,8,16,3,6,2,4,2,25,1,7,4,2,22,52,12,19,6,6,18,47,7,15,2,2,8,19,7,3,2,1,11,22,8,3,1,3,2,3,2,0,0,0
"ハーミッダ",9,4,2,0,1,0,5,3,3,2,0,0,3,4,2,1,0,0,6,2,0,2,0,0,15,16,4,4,2,1,5,13,6,6,1,0,4,8,0,0,1,0,7,9,1,1,2,0,2,0,1,0,0,0
"レアード",31,30,3,5,4,2,13,20,3,4,2,3,7,11,3,3,2,3,6,23,3,4,0,2,23,53,16,9,3,7,21,46,1,10,1,6,4,16,0,5,4,3,6,23,3,3,2,2,1,0,1,1,0,2
"近藤　健介",14,36,12,13,4,0,5,21,5,7,5,1,5,17,2,9,1,2,3,16,3,5,1,0,6,47,10,19,7,1,7,41,4,17,7,1,3,15,7,6,2,0,4,9,2,9,2,2,0,2,1,0,1,0
"谷口　雄也",3,0,1,1,0,0,9,3,3,2,0,0,0,1,1,0,0,0,2,6,0,2,0,0,4,15,5,6,2,0,2,14,1,3,3,2,2,3,0,0,0,0,1,5,2,1,0,0,0,1,0,0,0,0
"中島　卓也",22,33,11,18,0,0,7,24,6,15,0,0,3,17,3,11,1,0,6,20,6,5,2,0,13,66,12,17,1,0,13,47,5,25,2,0,5,7,7,13,1,0,7,26,2,8,1,0,1,1,0,1,0,0
"石川　慎吾",3,13,4,3,3,1,1,0,0,0,0,0,2,4,0,0,0,0,1,1,1,2,0,0,1,12,1,0,0,0,1,10,1,2,0,0,0,5,1,1,0,0,1,3,0,0,1,0,0,1,1,0,0,0
"岡　大海",11,23,5,1,1,1,5,12,1,8,0,0,4,6,0,2,0,0,5,6,1,3,1,0,11,27,3,6,4,0,6,26,2,12,1,2,5,7,0,3,2,0,6,10,0,1,2,0,1,1,3,0,0,0
"飯山　裕志",3,3,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"北　篤",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"石川　亮",1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,1,2,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0
"杉谷　拳士",5,7,1,5,0,0,3,5,0,3,1,1,1,5,0,3,0,0,1,5,0,1,0,0,7,17,3,9,2,0,6,17,2,11,2,0,0,5,1,3,1,0,2,8,0,4,0,0,0,1,0,0,0,0
"大谷　翔平",10,2,2,1,0,1,5,1,1,1,0,0,5,6,0,1,0,0,6,2,0,2,1,0,3,7,0,3,0,0,3,9,1,2,1,2,0,6,1,0,0,0,5,4,1,2,1,1,1,0,0,0,0,0
"松本　剛",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"佐藤　賢治",4,0,0,0,0,0,2,3,0,1,0,0,1,1,0,1,0,0,3,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"大野　奨太",7,17,3,3,1,0,3,9,3,1,1,0,0,4,0,0,1,0,2,2,0,0,1,0,8,21,2,8,1,0,1,20,3,4,1,0,1,3,1,1,0,0,1,10,1,3,0,0,1,0,0,0,0,0
"淺間　大基",4,5,0,1,3,0,1,5,1,2,0,0,2,5,0,1,0,0,1,4,0,3,0,0,8,20,1,5,2,0,8,10,1,6,1,0,2,3,0,3,1,0,0,8,1,5,0,0,0,0,0,0,0,0
"鵜久森　淳志",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"メンドーサ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"浦野　博司",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ガラテ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"渡邉　諒",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"上沢　直之",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"吉川　光夫",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"有原　航平",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"市川　友也",7,8,1,2,0,1,2,2,1,0,0,0,1,9,0,0,0,0,3,4,0,3,4,0,2,14,1,1,0,0,2,1,1,3,1,0,5,4,1,1,0,1,3,2,0,3,0,0,1,1,0,0,0,0
"髙濱　祐仁",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"清水　優心",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"荻野　貴司",7,19,5,9,0,1,3,13,3,8,1,0,3,10,1,2,0,0,1,5,0,2,1,0,6,33,3,9,1,0,5,41,2,14,5,0,1,4,0,4,0,0,5,16,2,4,1,1,2,10,0,0,0,0
"鈴木　大地",15,38,8,16,7,0,4,25,6,7,2,1,4,23,2,4,1,0,1,13,0,4,2,1,11,51,6,17,9,0,11,64,11,21,2,1,4,8,5,1,0,1,0,31,3,12,1,0,3,10,0,3,2,0
"角中　勝也",17,31,6,9,6,1,5,15,2,10,3,0,5,17,5,8,1,0,3,5,1,8,0,1,3,54,11,13,3,1,8,52,11,24,5,0,1,14,4,0,1,2,7,29,2,12,0,1,2,8,0,3,2,0
"今江　敏晃",10,21,0,12,2,1,5,26,1,7,3,0,2,15,2,9,3,0,2,8,0,2,0,0,3,35,5,14,5,0,8,52,2,17,3,0,2,13,2,3,0,0,0,21,1,8,2,0,0,8,1,4,0,0
"井口　資仁",17,12,4,10,3,1,7,4,2,2,1,0,5,3,0,0,1,0,0,7,1,0,0,0,6,21,1,3,4,1,13,34,4,10,6,0,3,6,0,2,0,0,5,8,3,0,1,2,3,3,3,1,2,0
"クルーズ",13,49,2,14,2,2,6,26,1,6,2,1,8,29,1,4,0,0,2,12,3,4,1,0,8,57,4,20,4,2,12,62,5,19,7,5,5,10,3,5,2,0,5,28,2,3,1,3,1,7,0,4,0,0
"根元　俊一",12,7,4,0,0,0,9,8,4,7,2,0,3,5,3,2,0,0,0,2,0,2,1,0,5,22,2,10,0,0,4,25,2,5,2,1,3,3,1,2,0,0,1,1,3,1,0,0,0,4,0,1,0,0
"田村　龍弘",9,30,3,8,2,0,10,17,4,4,1,0,4,8,3,2,0,0,3,4,1,1,0,1,9,36,3,9,1,0,15,39,5,7,2,0,0,8,3,1,0,0,11,12,1,3,2,1,2,7,3,0,0,0
"岡田　幸文",7,14,1,5,1,0,3,16,2,4,0,0,1,12,0,1,0,0,0,2,0,1,0,0,4,30,1,9,1,0,1,18,0,7,1,0,1,10,0,2,1,0,1,7,1,3,0,0,0,1,0,1,0,0
"肘井　竜蔵",3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"サブロー",3,6,3,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,3,7,1,1,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
"吉田　裕太",4,6,2,3,0,0,1,2,0,2,0,0,4,5,0,3,0,0,2,0,0,1,0,0,3,13,2,2,0,1,2,14,2,6,0,0,2,4,1,1,0,0,2,3,0,1,1,0,0,2,1,0,0,0
"清田　育宏",22,39,8,12,2,1,6,14,9,6,5,1,6,15,7,5,1,1,4,16,2,1,0,1,10,44,4,17,7,1,18,47,13,29,5,5,2,14,0,7,6,1,10,19,3,9,9,3,3,9,1,6,1,0
"大嶺　翔太",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"福浦　和也",7,14,4,1,0,0,4,11,1,3,0,0,5,8,0,4,2,0,0,5,3,2,0,0,7,15,4,7,0,2,2,9,1,4,0,0,1,5,0,4,0,0,4,10,2,8,0,0,1,3,1,2,1,0
"中村　奨吾",13,21,3,8,1,0,8,7,0,2,0,1,2,5,1,6,0,0,5,6,1,2,1,0,12,22,1,9,2,0,11,24,5,16,2,4,4,10,2,0,1,0,3,15,0,4,0,0,5,10,0,0,0,0
"デスパイネ",16,30,5,7,1,4,12,7,4,3,4,3,5,13,3,7,1,0,2,11,2,2,0,0,14,26,12,10,6,2,12,34,5,13,1,2,4,9,4,5,1,1,9,14,8,3,2,2,1,10,1,1,0,0
"加藤　翔平",3,7,1,1,0,0,2,3,1,0,0,0,0,2,0,2,0,0,0,2,0,1,0,0,2,6,1,2,1,0,2,6,0,1,0,0,0,0,0,1,0,0,2,4,0,1,0,0,0,1,0,2,0,0
"細谷　圭",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"涌井　秀章",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"イ・デウン",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"唐川　侑己",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"益田　直也",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ハフマン",1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"植松　優友",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"青松　敬鎔",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"石川　歩",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"大嶺　祐太",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"三木　亮",2,1,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,3,0,1,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"江村　直也",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"伊志嶺　翔大",4,7,1,4,0,0,1,1,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,8,0,3,0,0,0,18,2,4,1,0,0,1,0,0,0,0,0,2,0,3,0,0,0,6,1,0,1,0
"大松　尚逸",5,4,0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,10,0,3,1,0,2,6,2,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"井上　晴哉",0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"髙濱　卓也",4,3,1,1,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,2,0,2,0,0,0,2,0,2,0,0,2,4,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
