"","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6"
"岡本　和真",0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,6,1,2,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"隠善　智也",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"高木　京介",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"山田　哲人",17,21,6,8,5,1,9,14,6,9,1,0,2,2,1,3,0,0,14,49,9,9,6,5,12,36,12,18,5,7,27,62,16,31,9,6,11,17,3,5,2,2,7,11,7,4,3,5,3,26,3,8,7,1
"川端　慎吾",10,35,5,11,2,1,2,25,2,5,2,0,2,3,0,2,0,0,14,45,4,16,5,1,7,34,7,25,5,2,13,89,6,40,5,1,7,10,2,9,4,0,7,15,2,9,2,3,3,23,7,9,2,0
"ミレッジ",2,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,6,1,4,0,0,2,8,0,1,2,0,8,14,2,2,1,1,0,3,0,1,0,0,1,2,0,1,0,0,0,3,0,0,0,0
"雄平",13,26,2,11,3,1,2,18,7,6,2,0,2,4,0,2,0,0,8,50,1,17,5,2,18,29,4,16,6,2,10,85,6,26,9,3,7,27,1,2,1,0,6,13,1,7,3,0,4,21,3,5,3,0
"畠山　和洋",16,21,9,6,2,5,8,11,4,5,2,3,1,5,1,0,0,0,11,37,11,14,3,2,7,40,8,10,2,5,17,81,6,25,5,4,7,16,8,6,3,2,6,15,2,5,3,3,8,20,6,5,1,1
"松元　ユウイチ",0,6,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,6,0,0,0,0,0,2,1,1,0,0,2,4,1,2,1,0,0,6,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0
"大引　啓次",1,12,3,1,0,0,6,16,1,2,0,0,0,2,0,0,1,0,11,24,4,8,3,2,3,21,4,8,1,0,13,57,8,11,3,1,6,10,0,1,3,0,1,10,3,2,0,1,4,11,2,4,2,0
"中村　悠平",13,25,4,5,0,0,8,12,1,6,0,0,3,1,0,2,0,0,8,43,5,13,1,0,8,34,5,17,2,1,19,58,8,21,5,0,4,16,5,0,1,0,2,18,3,1,1,0,7,19,0,12,1,0
"小川　泰弘",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,4,2,0,1,0,0,5,6,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0
"上田　剛史",5,15,3,4,1,0,3,6,2,1,0,0,0,1,1,1,1,0,0,18,0,3,0,0,4,15,2,5,0,0,9,33,2,17,1,1,2,7,1,2,0,0,0,5,0,5,0,0,2,14,1,5,1,0
"三輪　正義",11,10,2,3,0,0,1,2,0,0,0,0,1,1,0,0,0,0,2,3,1,1,0,0,1,9,2,4,1,0,1,11,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0
"田中　浩康",3,10,1,4,0,0,0,10,1,1,1,0,0,1,0,0,0,0,4,17,3,6,2,0,2,12,1,3,0,0,5,14,3,2,0,0,0,8,1,1,0,0,0,3,1,2,0,0,1,4,0,0,0,0
"荒木　貴裕",7,6,2,2,1,0,2,5,1,3,1,0,0,0,0,0,0,0,3,19,0,7,0,0,1,12,1,5,0,0,6,23,3,7,1,0,2,2,2,2,0,0,3,10,2,2,1,0,1,6,1,3,4,1
"石川　雅規",0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,0,0,3,5,0,2,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0
